customer_key,customer_id,customer_number,first_name,last_name,marital_status,gender,country,birth_date,create_date
1,11000,AW00011000,Jon,Yang,Married,Male,Australia,06-10-1971,06-10-2025
2,11001,AW00011001,Eugene,Huang,Single,Male,Australia,10-05-1976,06-10-2025
3,11002,AW00011002,Ruben,Torres,Married,Male,Australia,09-02-1971,06-10-2025
4,11003,AW00011003,Christy,Zhu,Single,Female,Australia,14-08-1973,06-10-2025
5,11004,AW00011004,Elizabeth,Johnson,Single,Female,Australia,05-08-1979,06-10-2025
6,11005,AW00011005,Julio,Ruiz,Single,Male,Australia,01-08-1976,06-10-2025
7,11006,AW00011006,Janet,Alvarez,Single,Female,Australia,02-12-1976,06-10-2025
8,11007,AW00011007,Marco,Mehta,Married,Male,Australia,06-11-1969,06-10-2025
9,11008,AW00011008,Rob,Verhoff,Single,Female,Australia,04-07-1975,06-10-2025
10,11009,AW00011009,Shannon,Carlson,Single,Male,Australia,29-09-1969,06-10-2025
11,11010,AW00011010,Jacquelyn,Suarez,Single,Female,Australia,05-08-1969,06-10-2025
12,11011,AW00011011,Curtis,Lu,Married,Male,Australia,03-05-1969,06-10-2025
13,11012,AW00011012,Lauren,Walker,Married,Female,United States,14-01-1979,06-10-2025
14,11013,AW00011013,Ian,Jenkins,Married,Male,United States,03-08-1979,06-10-2025
15,11014,AW00011014,Sydney,Bennett,Single,Female,United States,06-11-1973,06-10-2025
16,11015,AW00011015,Chloe,Young,Single,Female,United States,26-08-1984,06-10-2025
17,11016,AW00011016,Wyatt,Hill,Married,Male,United States,25-10-1984,07-10-2025
18,11017,AW00011017,Shannon,Wang,Single,Female,Australia,24-12-1949,07-10-2025
19,11018,AW00011018,Clarence,Rai,Single,Male,Australia,06-10-1955,07-10-2025
20,11019,AW00011019,Luke,Lal,Single,Male,Canada,04-09-1983,07-10-2025
21,11020,AW00011020,Jordan,King,Single,Male,Canada,19-03-1984,07-10-2025
22,11021,AW00011021,Destiny,Wilson,Single,Female,United States,02-03-1984,07-10-2025
23,11022,AW00011022,Ethan,Zhang,Married,Male,United States,10-04-1984,07-10-2025
24,11023,AW00011023,Seth,Edwards,Married,Male,United States,09-04-1984,07-10-2025
25,11024,AW00011024,Russell,Xie,Married,Male,United States,16-03-1984,07-10-2025
26,11025,AW00011025,Alejandro,Beck,Married,Male,Australia,22-06-1951,07-10-2025
27,11026,AW00011026,Harold,Sai,Single,Male,Australia,01-10-1951,07-10-2025
28,11027,AW00011027,Jessie,Zhao,Married,Male,Australia,05-06-1952,07-10-2025
29,11028,AW00011028,Jill,Jimenez,Married,Female,Australia,09-10-1951,07-10-2025
30,11029,AW00011029,Jimmy,Moreno,Married,Male,Australia,19-06-1952,07-10-2025
31,11030,AW00011030,Bethany,Yuan,Married,Female,Australia,18-02-1958,07-10-2025
32,11031,AW00011031,Theresa,Ramos,Married,Female,Australia,18-02-1953,07-10-2025
33,11032,AW00011032,Denise,Stone,Married,Female,Australia,08-12-1952,07-10-2025
34,11033,AW00011033,Jaime,Nath,Married,Male,Australia,19-09-1958,07-10-2025
35,11034,AW00011034,Ebony,Gonzalez,Married,Female,Australia,16-12-1952,07-10-2025
36,11035,AW00011035,Wendy,Dominguez,Married,Female,Australia,23-08-1953,07-10-2025
37,11036,AW00011036,Jennifer,Russell,Married,Female,United States,16-06-1984,07-10-2025
38,11037,AW00011037,Chloe,Garcia,Single,Female,Canada,27-05-1983,07-10-2025
39,11038,AW00011038,Diana,Hernandez,Married,Female,Australia,20-09-1953,07-10-2025
40,11039,AW00011039,Marc,Martin,Married,Male,Australia,16-06-1954,07-10-2025
41,11040,AW00011040,Jesse,Murphy,Married,Male,United States,29-01-1983,07-10-2025
42,11041,AW00011041,Amanda,Carter,Married,Female,United States,15-04-1983,07-10-2025
43,11042,AW00011042,Megan,Sanchez,Married,Female,United States,11-12-1982,07-10-2025
44,11043,AW00011043,Nathan,Simmons,Married,Male,United States,23-08-1981,07-10-2025
45,11044,AW00011044,Adam,Flores,Married,Male,Australia,21-11-1954,07-10-2025
46,11045,AW00011045,Leonard,Nara,Single,Male,Australia,16-11-1955,07-10-2025
47,11046,AW00011046,Christine,Yuan,Married,Female,Australia,19-09-1955,07-10-2025
48,11047,AW00011047,Jaclyn,Lu,Married,Female,Australia,27-08-1955,07-10-2025
49,11048,AW00011048,Jeremy,Powell,Married,Male,Australia,21-05-1956,07-10-2025
50,11049,AW00011049,Carol,Rai,Single,Female,United States,15-01-1986,07-10-2025
51,11050,AW00011050,Alan,Zheng,Married,Male,Australia,06-03-1957,07-10-2025
52,11051,AW00011051,Daniel,Johnson,Single,Male,Australia,31-01-1957,07-10-2025
53,11052,AW00011052,Heidi,Lopez,Single,Female,Australia,03-02-1957,07-10-2025
54,11053,AW00011053,Ana,Price,Married,Female,United States,17-02-1986,07-10-2025
55,11054,AW00011054,Deanna,Munoz,Married,Female,Australia,07-09-1957,07-10-2025
56,11055,AW00011055,Gilbert,Raje,Married,Male,Australia,02-09-1957,07-10-2025
57,11056,AW00011056,Michele,Nath,Married,Female,Australia,01-10-1958,07-10-2025
58,11057,AW00011057,Carl,Andersen,Married,Male,Australia,07-04-1970,07-10-2025
59,11058,AW00011058,Marc,Diaz,Married,Male,Australia,23-04-1965,07-10-2025
60,11059,AW00011059,Ashlee,Andersen,Single,Female,Australia,29-09-1959,07-10-2025
61,11060,AW00011060,Jon,Zhou,Married,Male,Australia,14-09-1959,07-10-2025
62,11061,AW00011061,Todd,Gao,Married,Male,Australia,20-02-1976,07-10-2025
63,11062,AW00011062,Noah,Powell,Married,Male,United States,01-03-1981,07-10-2025
64,11063,AW00011063,Angela,Murphy,Single,Female,United States,04-10-1980,07-10-2025
65,11064,AW00011064,Chase,Reed,Married,Male,United States,05-06-1981,07-10-2025
66,11065,AW00011065,Jessica,Henderson,Married,Female,United States,08-04-1979,07-10-2025
67,11066,AW00011066,Grace,Butler,Married,Female,United States,27-05-1979,07-10-2025
68,11067,AW00011067,Caleb,Carter,Single,Male,United States,25-03-1982,07-10-2025
69,11068,AW00011068,Tiffany,Liang,Single,Female,Australia,19-09-1966,07-10-2025
70,11069,AW00011069,Carolyn,Navarro,Single,Female,Australia,17-09-1966,07-10-2025
71,11070,AW00011070,Willie,Raji,Married,Male,Australia,02-10-1960,07-10-2025
72,11071,AW00011071,Linda,Serrano,Single,Female,Australia,23-12-1960,07-10-2025
73,11072,AW00011072,Casey,Luo,Single,Female,Australia,05-08-1960,07-10-2025
74,11073,AW00011073,Amy,Ye,Single,Female,Australia,11-02-1962,07-10-2025
75,11074,AW00011074,Levi,Arun,Single,Male,Australia,25-02-1962,07-10-2025
76,11075,AW00011075,Felicia,Jimenez,Single,Female,Australia,16-05-1963,07-10-2025
77,11076,AW00011076,Blake,Anderson,Single,Male,Australia,10-01-1963,07-10-2025
78,11077,AW00011077,Leah,Ye,Single,Female,Australia,19-03-1963,07-10-2025
79,11078,AW00011078,Gina,Martin,Single,Female,Canada,06-01-1985,07-10-2025
80,11079,AW00011079,Donald,Gonzalez,Single,Male,Australia,07-03-1970,07-10-2025
81,11080,AW00011080,Damien,Chander,Married,Male,Australia,13-01-1965,07-10-2025
82,11081,AW00011081,Savannah,Baker,Married,Female,United States,21-01-1972,07-10-2025
83,11082,AW00011082,Angela,Butler,Single,Female,United States,01-02-1972,07-10-2025
84,11083,AW00011083,Alyssa,Cox,Married,Female,United States,11-03-1977,07-10-2025
85,11084,AW00011084,Lucas,Phillips,Single,Male,United States,12-03-1963,07-10-2025
86,11085,AW00011085,Emily,Johnson,Single,Female,United States,16-01-1963,07-10-2025
87,11086,AW00011086,Ryan,Brown,Married,Male,United States,22-06-1963,07-10-2025
88,11087,AW00011087,Tamara,Liang,Married,Female,United States,02-04-1963,07-10-2025
89,11088,AW00011088,Hunter,Davis,Married,Male,United States,25-05-1963,07-10-2025
90,11089,AW00011089,Abigail,Price,Single,Female,United States,05-08-1962,07-10-2025
91,11090,AW00011090,Trevor,Bryant,Single,Male,United States,13-12-1968,07-10-2025
92,11091,AW00011091,Dalton,Perez,Married,Male,Canada,02-10-1962,07-10-2025
93,11092,AW00011092,Cheryl,Diaz,Married,Female,Australia,02-11-1972,07-10-2025
94,11093,AW00011093,Aimee,He,Married,Female,Australia,06-09-1978,07-10-2025
95,11094,AW00011094,Cedric,Ma,Single,Male,Australia,29-09-1967,07-10-2025
96,11095,AW00011095,Chad,Kumar,Single,Male,Australia,29-02-1968,07-10-2025
97,11096,AW00011096,Andr+®s,Anand,Married,Male,Australia,07-02-1968,07-10-2025
98,11097,AW00011097,Edwin,Nara,Married,Male,Australia,23-10-1972,07-10-2025
99,11098,AW00011098,Mallory,Rubio,Single,Female,Australia,29-10-1966,07-10-2025
100,11099,AW00011099,Adam,Ross,Married,Male,Australia,05-09-1966,07-10-2025
101,11100,AW00011100,Latasha,Navarro,Single,Female,Australia,15-03-1966,07-10-2025
102,11101,AW00011101,Abby,Sai,Single,Female,Australia,05-11-1970,07-10-2025
103,11102,AW00011102,Julia,Nelson,Single,Female,Australia,19-10-1970,07-10-2025
104,11103,AW00011103,Cassie,Chande,Single,Female,Australia,12-04-1981,07-10-2025
105,11104,AW00011104,Edgar,Sara,Married,Male,Australia,08-03-1975,07-10-2025
106,11105,AW00011105,Candace,Fernandez,Single,Female,Australia,27-06-1970,07-10-2025
107,11106,AW00011106,Jessie,Liu,Single,Male,Australia,11-03-1970,07-10-2025
108,11107,AW00011107,Bianca,Lin,Married,Female,Australia,04-03-1976,07-10-2025
109,11108,AW00011108,Kari,Alvarez,Single,Female,Australia,10-01-1969,07-10-2025
110,11109,AW00011109,Ruben,Kapoor,Single,Male,Australia,30-04-1980,07-10-2025
111,11110,AW00011110,Curtis,Yang,Married,Male,Australia,04-12-1967,07-10-2025
112,11111,AW00011111,Meredith,Gutierrez,Married,Female,Australia,23-08-1967,07-10-2025
113,11112,AW00011112,Crystal,Wang,Married,Female,Australia,08-03-1968,07-10-2025
114,11113,AW00011113,Micheal,Blanco,Married,Male,Australia,17-02-1973,07-10-2025
115,11114,AW00011114,Leslie,Moreno,Single,Female,Australia,25-11-1967,07-10-2025
116,11115,AW00011115,Alvin,Cai,Married,Male,Australia,12-08-1967,07-10-2025
117,11116,AW00011116,Clinton,Carlson,Married,Male,Australia,02-04-1979,07-10-2025
118,11117,AW00011117,April,Deng,Married,Female,Australia,21-08-1966,07-10-2025
119,11118,AW00011118,Alvin,Zeng,Single,Male,Australia,31-12-1962,07-10-2025
120,11119,AW00011119,Evan,James,Single,Male,Australia,07-10-1940,07-10-2025
121,11120,AW00011120,Beth,Jim+®nez,Single,Female,Australia,06-02-1942,07-10-2025
122,11121,AW00011121,Orlando,Suarez,Married,Male,Australia,18-05-1966,07-10-2025
123,11122,AW00011122,Byron,Vazquez,Married,Male,Australia,30-09-1965,07-10-2025
124,11123,AW00011123,Philip,Alvarez,Married,Male,Australia,18-12-1965,07-10-2025
125,11124,AW00011124,Ross,Jordan,Single,Male,Australia,23-07-1968,07-10-2025
126,11125,AW00011125,Dana,Navarro,Single,Female,Australia,06-10-1961,07-10-2025
127,11126,AW00011126,Shaun,Carson,Married,Male,Australia,05-10-1954,07-10-2025
128,11127,AW00011127,Jan,Edwards,Married,Female,United States,19-04-1981,07-10-2025
129,11128,AW00011128,Samantha,Long,Married,Female,United States,03-06-1981,07-10-2025
130,11129,AW00011129,Julia,Wright,Single,Female,United States,01-02-1981,07-10-2025
131,11130,AW00011130,Caroline,Russell,Married,Female,United States,05-07-1985,07-10-2025
132,11131,AW00011131,Amanda,Rivera,Married,Female,Canada,09-09-1985,07-10-2025
133,11132,AW00011132,Melissa,Richardson,Single,Female,Canada,25-04-1986,07-10-2025
134,11133,AW00011133,Angela,Griffin,Single,Female,United States,08-03-1986,07-10-2025
135,11134,AW00011134,Larry,Townsend,Single,Male,Australia,22-02-1957,07-10-2025
136,11135,AW00011135,Marcus,Harris,Single,Male,United States,02-05-1985,07-10-2025
137,11136,AW00011136,Brianna,Morgan,Single,Female,Canada,24-04-1984,07-10-2025
138,11137,AW00011137,Jasmine,Taylor,Married,Female,United States,17-01-1984,07-10-2025
139,11138,AW00011138,Lauren,Davis,Married,Female,United States,14-03-1984,07-10-2025
140,11139,AW00011139,Tanya,Moreno,Single,Female,Australia,05-11-1949,07-10-2025
141,11140,AW00011140,Javier,Alvarez,Single,Male,United States,11-08-1982,07-10-2025
142,11141,AW00011141,Nicole,Ramirez,Married,Female,United States,19-12-1982,07-10-2025
143,11142,AW00011142,Eduardo,Patterson,Single,Male,Canada,11-02-1983,07-10-2025
144,11143,AW00011143,Jonathan,Henderson,Married,Male,United States,04-08-1982,07-10-2025
145,11144,AW00011144,Edward,Hernandez,Single,Male,United States,08-03-1985,07-10-2025
146,11145,AW00011145,Jasmine,Coleman,Single,Female,United States,06-06-1985,07-10-2025
147,11146,AW00011146,Karla,Goel,Single,Female,Australia,22-02-1945,07-10-2025
148,11147,AW00011147,Ernest,Wu,Married,Male,Australia,04-08-1944,07-10-2025
149,11148,AW00011148,Ross,Vazquez,Married,Male,Australia,13-02-1947,07-10-2025
150,11149,AW00011149,Theodore,Gill,Married,Male,Australia,18-10-1946,07-10-2025
151,11150,AW00011150,Russell,Shen,Single,Male,Australia,12-09-1946,07-10-2025
152,11151,AW00011151,Melinda,Gill,Single,Female,Australia,25-08-1947,07-10-2025
153,11152,AW00011152,James,Williams,Single,Male,United States,09-07-1981,07-10-2025
154,11153,AW00011153,Angela,James,Married,Female,United States,21-12-1981,07-10-2025
155,11154,AW00011154,Megan,Walker,Single,Female,United States,18-02-1982,07-10-2025
156,11155,AW00011155,Hunter,Robinson,Single,Male,United States,25-07-1981,07-10-2025
157,11156,AW00011156,Maria,Roberts,Single,Female,United States,06-08-1981,07-10-2025
158,11157,AW00011157,Hannah,Long,Married,Female,United States,08-12-1980,07-10-2025
159,11158,AW00011158,Jason,Wright,Single,Male,United States,06-04-1981,07-10-2025
160,11159,AW00011159,Brianna,Hughes,Single,Female,United States,16-03-1981,07-10-2025
161,11160,AW00011160,Maurice,Tang,Single,N/A,United States,08-07-1979,07-10-2025
162,11161,AW00011161,Emily,Wood,Single,N/A,United States,20-10-1979,07-10-2025
163,11162,AW00011162,Chase,Cox,Single,N/A,United States,02-09-1979,07-10-2025
164,11163,AW00011163,Gabriel,Wang,Married,N/A,United States,18-06-1980,07-10-2025
165,11164,AW00011164,Devin,Brooks,Single,N/A,United States,02-11-1979,07-10-2025
166,11165,AW00011165,Jocelyn,Alexander,Married,N/A,United States,15-01-1979,07-10-2025
167,11166,AW00011166,Ashley,Martinez,Single,N/A,United States,22-10-1977,07-10-2025
168,11167,AW00011167,Jasmine,Barnes,Single,N/A,United States,29-01-1978,07-10-2025
169,11168,AW00011168,David,Rodriguez,Single,N/A,United States,12-11-1973,07-10-2025
170,11169,AW00011169,Bryce,Richardson,Married,N/A,United States,20-12-1973,07-10-2025
171,11170,AW00011170,Carol,Howard,Married,N/A,United States,04-08-1973,07-10-2025
172,11171,AW00011171,Jonathan,Hill,Single,N/A,United States,05-10-1978,07-10-2025
173,11172,AW00011172,Gabrielle,Adams,Married,N/A,United States,20-05-1973,07-10-2025
174,11173,AW00011173,Sarah,Thomas,Single,N/A,United States,28-02-1973,07-10-2025
175,11174,AW00011174,Nicholas,Robinson,Married,N/A,United States,09-01-1973,07-10-2025
176,11175,AW00011175,Luis,Wang,Single,N/A,United States,01-09-1968,07-10-2025
177,11176,AW00011176,Mason,Roberts,Married,N/A,Canada,21-01-1979,07-10-2025
178,11177,AW00011177,Jose,Flores,Married,N/A,United States,01-01-1948,07-10-2025
179,11178,AW00011178,Nathan,Johnson,Married,N/A,United States,20-08-1954,07-10-2025
180,11179,AW00011179,Molly,Rodriguez,Married,N/A,United States,08-12-1959,07-10-2025
181,11180,AW00011180,April,Anand,Married,N/A,United States,01-07-1948,07-10-2025
182,11181,AW00011181,Devin,Martin,Married,N/A,United States,01-02-1960,07-10-2025
183,11182,AW00011182,Stephanie,Torres,Single,N/A,United States,22-02-1950,07-10-2025
184,11183,AW00011183,Jasmine,Lee,Single,N/A,United States,12-01-1950,07-10-2025
185,11184,AW00011184,Meghan,Hernandez,Single,N/A,United States,13-11-1955,07-10-2025
186,11185,AW00011185,Ashley,Henderson,Single,N/A,Canada,07-04-1950,07-10-2025
